rank,player,age,team,position,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,effective_field_goal_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
463,DeJon Jarreau,26,MEM,SG,9,0,150,4.1,12,0.34,1,3.1,0.308,3.1,8.9,0.351,0.38,1.2,2.6,0.455,1.9,8.6,10.6,6.2,1.4,0.5,2.2,3.4,10.3
464,Micah Potter,25,UTA,PF,16,0,186,3.7,7.7,0.475,1.7,4.1,0.429,1.9,3.7,0.526,0.588,1.2,1.5,0.75,1.9,6.4,8.3,1.2,0.8,1.2,1,2.7,10.3
465,Delon Wright,31,2TM,PG,47,1,742,3.6,9.1,0.394,1.2,3.3,0.368,2.4,5.8,0.408,0.46,1.8,2.2,0.822,0.9,3.3,4.2,5.8,2.6,0.5,0.7,1.6,10.2
466,Kyle Anderson,30,MIN,PF,79,10,1782,4,8.7,0.46,0.2,1,0.229,3.8,7.8,0.488,0.472,2,2.8,0.708,1.2,4.3,5.5,6.7,1.4,0.9,1.8,2.6,10.2
467,Danuel House Jr.,30,PHI,SF,34,4,509,3.3,7.4,0.448,1.1,3.5,0.3,2.3,3.9,0.582,0.519,2.5,3.3,0.761,1.1,3,4.1,2,1.1,0.4,1.3,3.2,10.2
468,Matthew Hurt,23,MEM,PF,8,0,113,3.8,10.8,0.353,1.6,6.4,0.25,2.2,4.5,0.5,0.426,1,1,1,2.9,2.2,5.1,1.3,1,1,0.6,2.5,10.2
469,AJ Griffin,20,ATL,SF,20,0,171,3.8,13.1,0.29,2.1,8.2,0.256,1.7,4.8,0.348,0.371,0.4,0.4,1,0.4,3.4,3.8,1.1,0.2,0.4,1.7,1.3,10.1
470,Josh Hart,28,NYK,SF,81,42,2707,3.9,9,0.434,1.1,3.4,0.31,2.9,5.6,0.511,0.493,1.2,1.5,0.791,1.7,7.3,9,4.4,1,0.3,1.6,2.3,10.1
471,Kevon Looney,27,GSW,C,74,36,1195,4.2,7,0.597,0,0,0,4.2,7,0.599,0.597,1.7,2.5,0.675,4.3,8.3,12.6,4,0.8,0.9,1.5,4.7,10.1
472,Cody Martin,28,CHO,SF,28,22,753,3.9,10.3,0.381,1.3,4.1,0.314,2.6,6.2,0.426,0.444,1,1.6,0.606,0.9,4.3,5.2,5,1.5,0.9,2.1,2.3,10.1
473,Théo Maledon,22,2TM,PG,17,1,213,3.4,11.8,0.286,0.8,5.1,0.167,2.5,6.8,0.375,0.321,2.4,2.5,0.933,0.7,3.4,4.1,4.7,1.2,0,3,3.5,10
474,Ochai Agbaji,23,2TM,SG,78,28,1641,3.9,9.5,0.411,1.4,4.6,0.294,2.5,4.9,0.523,0.483,0.8,1.2,0.661,1.6,3.1,4.7,1.8,1,1,1.4,2.6,10
475,Robin Lopez,35,MIL,C,16,2,65,3.9,10.5,0.368,1.1,4.4,0.25,2.8,6.1,0.455,0.421,1.1,1.1,1,1.7,1.1,2.8,2.2,0.6,1.7,1.1,3.9,10
476,Xavier Moon,29,LAC,SG,14,1,119,4.5,13.9,0.326,0.6,5.1,0.118,3.9,8.8,0.448,0.348,0.3,0.6,0.5,2.4,3,5.4,6.4,0.9,0.9,1.5,2.4,10
477,Kris Murray,23,POR,SF,62,29,1348,3.9,9.8,0.396,1.3,4.9,0.268,2.6,4.9,0.525,0.463,1,1.5,0.661,2.3,3.7,6,2.1,1.4,0.6,1.5,2.5,10
478,Tosan Evbuomwan,22,2TM,SF,17,8,367,3.5,7,0.507,1.2,3.1,0.375,2.4,3.8,0.615,0.592,1.7,2.5,0.68,1.8,4.1,5.9,1.6,0.6,0.5,0.9,2.3,9.9
479,Julian Phillips,20,CHI,SF,40,0,323,3.6,8.6,0.416,1.3,4.2,0.316,2.2,4.3,0.513,0.494,1.4,2.1,0.684,1.3,2.7,4,1.4,0.8,0.8,1.1,4.5,9.9
480,Anthony Black,20,ORL,PG,69,33,1164,3.6,7.6,0.466,1.1,2.9,0.394,2.4,4.7,0.51,0.54,1.5,2.5,0.613,1,3.3,4.3,2.8,1.1,0.6,1.7,3.4,9.8
481,Justin Holiday,34,DEN,SG,58,9,862,3.7,8.1,0.454,2.3,5.7,0.404,1.4,2.4,0.569,0.595,0.1,0.2,0.75,0.4,2.6,3,2.8,1.5,0.4,0.6,2.9,9.8
482,Jae Crowder,33,MIL,PF,50,25,1156,3.6,8.4,0.422,1.8,5.2,0.349,1.7,3.2,0.538,0.53,0.8,1.1,0.722,1,4,5,2.1,1.2,0.3,0.7,2.3,9.7
483,Alex Len,30,SAC,C,48,0,444,4.1,6.6,0.617,0,0.2,0,4.1,6.3,0.641,0.617,1.6,2.8,0.588,3.7,6.6,10.4,4.1,0.9,2.7,2.2,5.4,9.7
484,Seth Lundy,23,ATL,SF,9,0,52,2.8,11.8,0.235,2.1,9,0.231,0.7,2.8,0.25,0.324,2.1,2.8,0.75,0.7,4.2,4.8,0,0,0,0.7,4.2,9.7
485,Ty Jerome,26,CLE,SG,2,0,15,4.8,9.6,0.5,0,2.4,0,4.8,7.2,0.667,0.5,0,0,NA,2.4,0,2.4,7.2,0,0,2.4,4.8,9.6
486,Wesley Matthews,37,ATL,SG,36,3,413,3,8.5,0.351,2.1,6,0.348,0.9,2.4,0.357,0.474,1.6,2.1,0.75,0.8,3.8,4.6,2,1.4,1,0.7,3.7,9.6
487,Cam Reddish,24,LAL,SF,48,26,984,3.3,8.6,0.389,1.4,4,0.336,2,4.5,0.435,0.468,1.5,2,0.759,1,2.6,3.6,1.8,1.7,0.5,1.1,2.3,9.5
488,Dalen Terry,21,CHI,SG,59,2,681,3.6,8.3,0.439,0.9,3.9,0.23,2.7,4.4,0.627,0.494,1.3,2.3,0.581,1.5,4.4,6,4.3,1.4,1,1.7,4.3,9.5
489,Dean Wade,27,CLE,PF,54,32,1108,3.1,7.5,0.414,2.6,6.6,0.391,0.6,1,0.567,0.584,0.6,0.8,0.769,1.2,5.9,7.1,1.4,1.3,0.8,0.6,3,9.5
490,Robert Covington,33,2TM,PF,29,6,488,3.2,7.2,0.439,1.4,4.1,0.339,1.8,3.1,0.571,0.536,1.6,1.9,0.846,2.3,4.9,7.2,1.8,2.9,1.3,0.8,4.1,9.4
491,Mike Muscala,32,3TM,C,53,6,600,3.4,9.4,0.359,1.7,5.8,0.292,1.7,3.6,0.467,0.449,1,1.5,0.68,2.3,5.2,7.5,2.2,0.5,0.8,1.3,3.1,9.4
492,Dyson Daniels,20,NOP,PG,61,16,1358,3.7,8.2,0.447,1.1,3.6,0.311,2.6,4.7,0.551,0.514,0.9,1.4,0.642,1.6,4.6,6.3,4.3,2.3,0.7,1.6,2.7,9.4
493,Zavier Simpson,26,MEM,PG,7,0,161,3.8,12.1,0.315,1.1,3.8,0.294,2.7,8.3,0.324,0.361,0.7,0.9,0.75,0.9,3.6,4.5,5.6,1.6,0.7,2.2,2.5,9.4
494,Jae'Sean Tate,28,HOU,SF,65,9,1031,3.8,8,0.472,0.8,2.7,0.299,3,5.3,0.559,0.522,0.9,1.4,0.667,2.1,4.7,6.9,2.2,1.5,0.5,1.3,4.8,9.3
495,Jarred Vanderbilt,24,LAL,PF,29,6,581,3.7,7.1,0.518,0.5,1.7,0.296,3.2,5.4,0.586,0.553,1.5,2.2,0.667,2.5,6,8.6,2.2,2.2,0.3,1.7,2.7,9.3
496,Pat Connaughton,31,MIL,SF,76,3,1676,3.2,7.5,0.435,1.8,5.1,0.345,1.5,2.3,0.633,0.553,0.9,1.2,0.759,1.1,4,5.1,3.5,0.9,0.4,1.1,2.1,9.2
497,Dereon Seabron,23,NOP,SG,6,0,55,2.6,8.5,0.308,0.7,1.3,0.5,2,7.2,0.273,0.346,3.3,3.9,0.833,0.7,3.9,4.6,3.3,1.3,0.7,0,2.6,9.2
