rank,player,age,team,position,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,effective_field_goal_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
531,Wenyen Gabriel,26,MEM,PF,5,0,81,3.6,9.8,0.364,0.4,2.7,0.167,3.1,7.1,0.438,0.386,0,2.2,0,3.1,8,11.1,1.3,0.9,0.9,3.6,4.4,7.6
532,Nicolas Batum,35,2TM,PF,60,38,1529,2.7,6,0.453,1.7,4.4,0.395,1,1.7,0.606,0.596,0.4,0.5,0.714,1.6,4.2,5.8,3,1.1,0.9,0.9,2.6,7.5
533,Thanasis Antetokounmpo,31,MIL,PF,34,0,155,3.7,7,0.533,0,0.2,0,3.7,6.7,0.552,0.533,0,0.5,0,1.6,1.4,3,3.9,1.6,0.9,3.3,5.6,7.4
534,Trent Forrest,25,ATL,SG,38,0,414,3,7.8,0.378,0.2,0.9,0.2,2.8,7,0.4,0.389,1.1,1.5,0.765,1,3.5,4.4,8,1,0.3,1.7,2.2,7.2
535,John Konchar,27,MEM,SF,55,23,1173,2.7,6.4,0.423,1.2,3.7,0.317,1.5,2.7,0.568,0.514,0.6,0.8,0.84,2.2,5.7,7.9,3.4,1.6,1.6,1.4,2.3,7.2
536,Joshua Primo,21,LAC,SG,2,0,10,3.6,10.8,0.333,0,3.6,0,3.6,7.2,0.5,0.333,0,0,NA,3.6,0,3.6,0,0,3.6,14.4,0,7.2
537,Ish Smith,35,CHO,PG,43,5,741,3.2,7.7,0.418,0.2,0.4,0.5,3,7.3,0.413,0.43,0.1,0.2,0.75,0.5,3.2,3.7,7,0.8,0.2,2.3,2.4,6.8
538,Quenton Jackson,25,IND,PG,3,0,11,0,3.3,0,0,0,NA,0,3.3,0,0,6.5,6.5,1,0,13.1,13.1,6.5,3.3,0,0,3.3,6.5
539,Jordan Walsh,19,BOS,SF,9,1,83,2.6,6.5,0.4,0.9,3.9,0.222,1.7,2.6,0.667,0.467,0.4,0.9,0.5,2.2,6.5,8.7,2.2,2.2,0.4,1.3,4.8,6.5
540,Malik Williams,25,TOR,C,7,2,107,3,11.4,0.265,0.3,1.7,0.2,2.7,9.8,0.276,0.279,0,0.7,0,5,7.7,12.8,0.7,1,1.3,1,5,6.4
541,E.J. Liddell,23,NOP,PF,8,0,23,1.6,9.4,0.167,0,7.8,0,1.6,1.6,1,0.167,3.1,3.1,1,0,7.8,7.8,1.6,3.1,3.1,3.1,3.1,6.3
542,James Johnson,36,IND,PF,9,0,47,2.3,7.7,0.3,0,1.5,0,2.3,6.1,0.375,0.3,1.5,1.5,1,0.8,2.3,3.1,6.1,3.8,0.8,3.8,6.9,6.1
543,Jason Preston,24,UTA,PG,7,0,71,3,9.6,0.316,0,1.5,0,3,8.1,0.375,0.316,0,0,NA,3,5.6,8.6,8.1,1,0.5,1,1.5,6.1
544,Taj Gibson,38,2TM,PF,20,1,204,2.6,6.5,0.405,0.4,1.8,0.2,2.3,4.8,0.481,0.432,0.4,0.4,1,2.1,4.4,6.5,1.9,0.5,1.2,0.9,5.5,6
545,Usman Garuba,21,GSW,PF,6,0,18,2,12,0.167,0,2,0,2,10,0.2,0.167,2,4,0.5,6,8,14,2,2,6,4,4,6
546,Keyontae Johnson,23,OKC,SF,9,0,66,2.7,8.7,0.313,0.5,1.6,0.333,2.2,7.1,0.308,0.344,0,0,NA,2.2,3.3,5.5,2.2,0.5,0,2.2,2.7,6
547,Charlie Brown Jr.,26,NYK,SG,8,0,37,1.9,9.7,0.2,1.9,6.8,0.286,0,2.9,0,0.3,0,0,NA,1,1,1.9,0,0,1.9,1.9,4.9,5.8
548,Justin Minaya,24,POR,SF,34,1,381,2.1,7,0.297,1.1,4.6,0.245,0.9,2.4,0.4,0.378,0.5,0.9,0.556,2.8,2.5,5.3,2,0.9,0.9,0.9,3.3,5.8
549,Jericho Sims,25,NYK,C,45,11,585,2.3,3.4,0.691,0,0,NA,2.3,3.4,0.691,0.691,1,1.5,0.667,3.4,5.6,9,1.5,0.5,1.2,1,2.8,5.7
550,Gabe Vincent,27,LAL,PG,11,0,218,2.5,8.1,0.306,0.5,4.6,0.107,2,3.5,0.571,0.337,0.2,0.3,0.5,0.7,0.8,1.5,3.5,1.5,0,0.8,3.1,5.6
551,Pat Spencer,27,GSW,PG,6,0,26,2.8,5.5,0.5,0,2.8,0,2.8,2.8,1,0.5,0,0,NA,2.8,2.8,5.5,6.9,0,0,1.4,1.4,5.5
552,Ibou Badji,21,POR,C,22,1,226,2.2,3.5,0.636,0,0,NA,2.2,3.5,0.636,0.636,1,1.9,0.5,3.2,4.9,8.1,2.1,0.5,3.2,2.4,7.3,5.4
553,Juan Toscano-Anderson,30,SAC,SF,11,0,53,2,8.2,0.25,0.7,2.7,0.25,1.4,5.4,0.25,0.292,0,0,NA,2.7,6.8,9.5,2.7,0.7,0.7,1.4,7.5,4.8
554,R.J. Hampton,22,MIA,PG,8,2,76,1.9,6.6,0.286,0.5,3.8,0.125,1.4,2.8,0.5,0.321,0.5,0.9,0.5,0.9,1.9,2.8,3.8,0,0,1.4,3.8,4.7
555,Dariq Whitehead,19,BRK,SF,2,0,24,1.5,7.5,0.2,0,4.5,0,1.5,3,0.5,0.2,1.5,3,0.5,0,6,6,4.5,0,1.5,0,0,4.5
556,Frank Ntilikina,25,CHO,PG,5,0,43,0.8,7.5,0.111,0.8,6.7,0.125,0,0.8,0,0.167,1.7,1.7,1,0.8,4.2,5,3.3,0,0,0.8,3.3,4.2
557,Pete Nance,23,CLE,PF,8,0,27,1.3,8,0.167,1.3,1.3,1,0,6.7,0,0.25,0,2.7,0,0,4,4,0,1.3,0,1.3,2.7,4
558,Nathan Mensah,25,CHO,C,25,0,307,1.4,3.3,0.429,0,0,NA,1.4,3.3,0.429,0.429,1.1,1.4,0.75,3.4,4.2,7.6,1.1,0.7,1.6,1.6,7.5,3.9
559,P.J. Tucker,38,2TM,PF,31,10,486,1.3,3.7,0.36,1,2.6,0.371,0.4,1.1,0.333,0.49,0.2,0.2,1,2.1,4.2,6.3,1.2,1.2,0.5,0.6,4,3.9
560,Maxwell Lewis,21,LAL,SF,34,0,103,1.4,7.3,0.19,0.3,3.1,0.111,1,4.2,0.25,0.214,0.7,1,0.667,0.7,0.7,1.4,2.1,0.7,0.3,3.5,1.7,3.8
561,Timmy Allen,24,MEM,SF,5,0,125,1.7,6.6,0.261,0,2,0,1.7,4.6,0.375,0.261,0.3,0.6,0.5,1.2,3.7,4.9,1.4,1.2,0,0.6,5.2,3.7
562,Jack White,26,MEM,SF,4,0,64,1.1,9,0.125,1.1,5.6,0.2,0,3.4,0,0.188,0,0,NA,2.3,4.5,6.8,0.6,2.3,0.6,1.1,1.7,3.4
563,Ryan Arcidiacono,29,NYK,PG,20,0,45,0,4.8,0,0,4.8,0,0,0,NA,0,0,0,NA,0,6.4,6.4,3.2,1.6,0,1.6,4,0
564,Malcolm Cazalon,22,DET,SG,1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
565,Jalen Crutcher,24,NOP,PG,1,0,3,0,12,0,0,0,NA,0,12,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
566,Andrew Funk,24,CHI,SG,5,0,13,0,11.1,0,0,8.3,0,0,2.8,0,0,0,0,NA,0,0,0,0,2.8,2.8,0,0,0
567,Kaiser Gates,27,NOP,SF,1,0,7,0,20.6,0,0,10.3,0,0,10.3,0,0,0,0,NA,0,5.1,5.1,0,0,0,0,0,0
568,Danny Green,36,PHI,SG,2,0,18,0,4,0,0,2,0,0,2,0,0,0,0,NA,0,4,4,2,2,0,0,2,0
569,Ron Harper Jr.,23,TOR,PF,1,0,4,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,9,0,0,0,18,0
570,Justin Jackson,28,MIN,SF,2,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
571,Dmytro Skapintsev,25,NYK,C,2,0,2,0,18,0,0,0,NA,0,18,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
572,Javonte Smart,24,PHI,PG,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
NA,League Average,NA,,,NA,NA,NA,NA,NA,0.474,NA,NA,0.366,NA,NA,0.545,0.547,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA
